glasses,eyesight,sleep_wkdy,sleep_wknd,id,nsibs,samp,race_eth,sex,region,income,res_1980,res_2002,age_bir
0,2,8,8,8121,5,14,1,2,4,2412,11,11,34
1,1,6,5,8123,8,14,1,2,1,1232,11,11,27
1,3,7,9,8127,5,13,2,2,4,10704,11,11,18
0,2,5,7,8139,4,11,1,1,4,12000,11,11,20
0,1,8,8,8140,4,14,1,2,4,15220,11,11,17
1,2,6,8,8141,4,14,1,2,4,16000,11,11,25
1,1,7,7,8143,4,14,1,2,4,10000,11,11,17
0,2,6,8,8151,1,14,1,2,4,9000,11,11,31
1,2,7,9,8173,8,11,1,1,4,9000,11,11,20
0,3,5,8,8177,8,11,1,1,4,13000,11,11,19
0,1,7,9,8193,4,14,1,2,4,4500,11,11,19
1,4,8,8,8197,7,11,1,1,4,13000,11,11,20
0,4,6,4,8209,3,10,2,1,4,1100,11,11,14
1,1,5,8,8216,5,11,1,1,4,7800,11,11,19
1,3,8,9,8235,5,14,1,2,4,25000,11,11,24
1,1,7,7,8237,5,14,1,2,4,30000,3,11,32
0,2,6,6,8243,3,14,1,2,4,8700,11,11,17
1,1,8,7,8257,6,14,1,2,4,20600,11,11,20
1,3,6,7,8267,12,11,1,1,4,12000,11,11,19
1,5,6,6,8271,7,14,1,2,4,1400,11,11,22
0,2,8,8,8272,3,11,1,1,4,8000,11,11,17
1,2,8,9,8273,2,14,1,2,4,8000,11,11,18
0,2,6,8,8274,9,11,1,1,4,4020,11,11,23
1,1,4,4,8276,7,14,1,2,4,8000,11,11,20
1,3,8,10,8286,6,14,1,2,4,22150,11,11,19
1,1,6,6,8287,4,14,1,2,4,5016,11,11,17
0,1,7,7,8304,3,11,1,1,4,11000,11,11,25
0,4,5,5,8305,4,14,1,2,4,3700,11,11,18
0,4,6,6,8309,4,14,1,2,4,420,11,11,16
0,1,8,8,8327,2,11,1,1,4,6000,11,11,16
1,3,6,6,8364,7,11,1,1,4,4000,11,11,29
0,1,4,5,8377,4,14,1,2,4,12200,11,11,21
0,1,7,7,8388,4,11,1,1,4,15800,11,11,21
1,3,8,10,8391,7,14,1,2,4,20000,11,11,22
0,1,6,9,8392,7,11,1,1,4,20000,3,11,31
1,1,6,8,8395,2,14,1,2,4,14000,3,11,25
0,1,8,10,8406,2,11,1,1,4,7000,11,11,17
0,2,9,7,8407,13,14,1,2,4,11000,11,11,17
1,3,7,8,8434,1,13,2,2,3,10400,11,11,17
1,3,7,7,8479,9,13,2,2,3,8000,11,11,19
1,2,6,7,8490,2,13,2,2,3,9500,11,11,23
0,4,6,4,8493,6,13,2,2,3,15080,11,11,22
0,1,6,8,8494,8,13,2,2,3,9000,11,6,22
0,2,7,7,8495,13,10,2,1,3,13000,11,11,20
1,2,5,7,8513,5,13,2,2,3,8000,3,11,24
0,2,5,5,8549,5,13,2,2,3,6000,11,11,18
0,2,4,8,8623,4,10,2,1,3,20000,3,11,28
0,2,6,6,8633,5,10,2,1,3,11000,1,11,21
1,2,7,9,8634,5,13,2,2,1,1600,2,11,15
1,1,5,7,8640,3,10,2,1,2,10200,11,11,25
0,1,8,8,8683,7,10,2,1,3,1551,11,19,21
1,1,6,6,8685,6,13,2,2,3,9888,11,11,18
1,1,5,5,8693,6,13,2,2,3,6157,11,11,20
0,1,6,8,8697,7,13,2,2,3,11046,3,11,28
1,2,9,9,8741,2,11,1,1,2,13250,6,11,31
1,1,9,8,8869,9,14,1,2,3,9000,11,11,20
1,1,8,7,8870,9,14,1,2,3,9000,11,11,16
1,1,6,8,8880,3,11,1,1,3,32000,3,11,30
0,3,4,4,8881,6,11,1,1,3,10000,11,11,19
1,2,8,8,8889,7,14,1,2,3,22856,12,11,19
0,3,7,7,8911,4,11,1,1,3,6000,11,11,23
0,2,8,9,8916,5,14,1,2,3,25000,11,11,18
1,1,4,6,8939,7,14,1,2,4,13070,3,11,23
0,2,8,8,8948,11,14,1,2,4,5940,11,11,16
1,4,6,6,8971,5,10,2,1,1,6000,1,11,21
1,1,8,8,9005,1,10,2,1,3,7000,11,11,23
0,2,4,5,9013,8,10,2,1,3,10008,1,11,22
1,1,6,8,9066,10,10,2,1,3,9027,11,11,24
0,3,6,6,9080,12,13,2,2,3,3088,11,11,15
1,2,6,6,9107,1,10,2,1,3,14000,3,11,25
0,4,6,7,9117,0,13,2,2,3,7930,11,11,26
0,3,8,8,9134,9,14,1,2,3,12343,11,11,30
1,2,6,7,9174,1,14,1,2,2,15000,11,11,18
0,1,6,7,9191,5,10,2,1,2,18064,11,11,32
0,2,7,9,9195,4,13,2,2,2,12864,3,11,23
0,1,8,8,9197,9,10,2,1,2,4426,11,11,21
0,2,6,6,9204,10,10,2,1,2,5340,11,11,17
0,3,6,6,9214,1,14,1,2,1,14000,11,11,22
0,2,8,8,9220,7,14,1,2,1,4512,11,11,15
1,3,4,7,9256,3,14,1,2,1,8192,11,11,24
1,1,9,9,9273,8,14,1,2,1,8970,11,11,15
0,3,6,8,9274,5,13,2,2,1,3636,11,11,18
1,3,7,8,9284,10,14,1,2,1,5736,11,11,15
0,1,6,6,9287,9,13,2,2,1,4500,11,11,23
1,1,7,7,9347,8,13,2,2,1,5957,11,11,19
1,4,6,7,9355,1,14,1,2,1,1200,11,11,17
0,3,6,6,9374,7,14,1,2,1,10050,11,11,20
1,1,6,8,9381,1,14,1,2,1,5840,11,11,19
0,1,8,10,9390,9,10,2,1,1,2600,11,11,32
1,2,5,8,9391,7,10,2,1,1,5000,11,11,23
1,1,6,8,9392,1,13,2,2,1,6238,11,11,21
1,2,7,7,9401,2,13,2,2,1,5806,11,11,17
1,1,8,8,9416,2,14,1,2,1,27000,11,11,27
1,2,7,8,9419,2,10,2,1,1,55000,3,11,23
1,2,6,6,9442,4,10,2,1,1,6800,1,11,18
1,2,6,6,9446,2,13,2,2,1,5130,11,11,25
1,1,7,7,9517,6,14,1,2,2,11353,11,11,18
1,1,8,8,9521,4,13,2,2,2,10000,11,11,19
0,3,4,4,9529,10,14,1,2,2,7120,11,11,20
0,2,7,7,9556,4,13,2,2,2,1096,11,11,17
1,2,8,9,9574,7,14,1,2,2,13180,11,11,16
0,4,7,9,9619,3,14,1,2,3,6500,11,11,23
1,5,9,9,9620,0,14,1,2,3,6337,11,11,18
0,2,7,7,9624,3,11,1,1,3,2502,11,11,25
0,3,6,6,9672,4,13,2,2,3,17000,3,11,33
0,2,9,6,9674,6,10,2,1,3,8000,1,11,22
0,4,7,8,9687,6,10,2,1,3,15000,11,11,23
1,1,6,6,9697,2,10,2,1,3,5950,11,11,28
1,1,4,4,9707,2,13,2,2,3,0,11,11,20
0,4,4,5,9754,2,14,1,2,3,2904,11,11,15
1,4,7,8,9756,3,13,2,2,3,3674,11,11,16
0,2,5,5,9760,3,10,2,1,3,11000,1,11,24
1,1,4,4,9768,4,13,2,2,3,5000,11,11,20
0,2,7,7,9809,2,14,1,2,4,4800,11,11,16
0,3,8,8,9811,5,14,1,2,4,15000,11,11,23
0,2,8,6,9823,8,10,2,1,4,14500,11,11,20
1,3,8,8,9838,5,14,1,2,4,17200,11,11,18
1,1,8,8,9871,8,13,2,2,4,11000,11,11,16
1,1,5,6,9876,5,11,1,1,4,14090,11,11,25
0,1,8,9,9922,1,14,1,2,4,5000,11,11,21
0,5,9,9,9940,4,14,1,2,4,5038,11,11,20
0,2,6,6,9941,4,14,1,2,4,14000,16,11,30
0,1,9,7,9969,4,11,1,1,4,11000,11,11,17
0,1,6,7,9981,8,14,1,2,4,7500,11,11,18
1,2,8,8,10008,6,14,1,2,4,16972,11,11,26
1,2,8,9,10009,6,11,1,1,4,19000,11,11,31
1,4,9,11,10026,9,14,1,2,4,7000,11,11,16
0,2,7,4,10028,6,11,1,1,4,6400,11,11,20
1,2,7,7,10029,9,14,1,2,4,6334,11,11,18
1,4,8,8,10036,11,14,1,2,4,9000,11,11,22
1,1,6,6,10038,1,14,1,2,4,41090,11,11,18
1,1,8,8,10062,2,14,1,2,4,7295,11,11,15
1,3,5,5,10082,9,10,2,1,3,9100,11,11,22
0,3,3,3,10113,3,13,2,2,3,9016,11,11,15
1,1,5,5,10135,5,13,2,2,3,6000,11,11,20
0,3,5,5,10152,4,10,2,1,3,4000,1,11,20
1,3,7,9,10166,7,13,2,2,3,14000,11,11,19
0,2,6,7,10182,7,13,2,2,3,4800,11,11,17
1,1,6,9,10185,4,14,1,2,3,11000,11,11,23
1,1,10,10,10211,8,14,1,2,2,14000,11,11,18
0,2,7,7,10226,1,14,1,2,2,2100,3,11,27
1,1,7,7,10232,7,10,2,1,2,30000,3,11,36
0,1,10,10,10234,2,13,2,2,2,3500,11,11,17
0,4,4,4,10236,6,13,2,2,2,7072,11,11,19
0,1,13,13,10259,4,13,2,2,1,185,11,11,16
0,2,8,10,10315,4,11,1,1,1,11700,11,11,24
1,2,6,6,10331,4,13,2,2,3,900,11,11,14
0,2,8,8,10334,3,13,2,2,1,0,11,11,17
1,1,5,5,10362,2,13,2,2,1,17000,3,11,36
0,3,6,8,10377,4,14,1,2,1,16850,11,11,24
1,1,8,8,10379,3,13,2,2,1,13500,11,11,20
0,2,6,8,10389,1,10,2,1,1,16000,11,11,29
0,1,8,8,10425,3,10,2,1,2,44200,11,11,19
0,1,8,8,10436,2,14,1,2,2,25200,11,11,25
0,1,4,6,10452,6,13,2,2,3,1700,11,11,20
0,1,8,10,10453,2,10,2,1,4,10000,11,11,19
0,1,5,5,10470,6,10,2,1,2,1100,11,11,28
1,3,7,7,10481,1,14,1,2,4,3600,11,11,20
0,1,5,8,10493,3,11,1,1,4,4400,11,11,20
0,3,8,8,10500,1,14,1,2,4,7800,11,11,28
1,2,7,7,10582,4,13,2,2,2,6322,11,11,17
1,3,8,8,10634,8,19,2,2,3,5700,12,11,22
0,2,10,13,10664,8,16,2,1,3,7220,1,11,21
0,2,7,7,10666,5,16,2,1,3,5616,11,11,20
1,3,5,7,10706,3,16,2,1,2,6000,2,11,25
0,3,8,8,10707,3,17,1,1,2,5600,1,11,28
0,2,4,4,10718,6,16,2,1,2,5900,1,11,19
0,1,6,6,10728,2,15,3,1,3,6460,1,11,24
0,1,5,5,10742,3,17,1,1,3,7500,11,11,35
1,2,7,8,10745,1,15,3,1,3,12009,1,11,27
0,2,8,10,10754,1,16,2,1,3,2050,1,11,26
0,3,4,4,10757,2,15,3,1,3,11900,11,11,20
